G5	G1	-
G2	G1	+
G20	G2	-
G2	G3	+
G16	G4	-
G5	G4	-
G2	G4	+
G5	G6	-
G5	G7	+
G5	G8	+
G5	G9	-
G5	G10	+
G5	G11	-
G5	G12	+
G5	G13	+
G5	G14	+
G16	G15	+
G2	G15	+
G17	G15	+
G16	G18	+
G16	G19	-
G23	G21	+
G16	G21	+
G20	G22	-
G31	G24	+
G16	G24	+
G23	G25	-
G16	G26	-
G32	G27	+
G16	G27	-
G26	G28	-
G16	G29	-
G79	G30	-
G31	G30	-
G16	G30	-
G32	G33	-
G16	G34	+
G31	G35	+
G31	G36	-
G38	G37	-
G5	G37	+
G39	G37	-
G5	G40	+
G49	G40	+
G79	G40	+
G41	G40	+
G79	G42	-
G41	G42	+
G5	G42	+
G43	G42	+
G49	G42	+
G45	G44	+
G16	G44	-
G47	G45	+
G16	G46	+
G86	G46	+
G47	G48	+
G79	G49	+
G47	G50	+
G47	G51	+
G49	G51	-
G47	G52	-
G54	G53	+
G49	G53	+
G49	G54	+
G2	G55	-
G49	G55	-
G55	G56	-
G60	G56	+
G60	G57	-
G55	G57	+
G55	G58	-
G60	G59	-
G55	G59	-
G2	G60	+
G55	G60	-
G60	G61	-
G55	G62	+
G60	G62	+
G60	G63	-
G60	G64	+
G60	G65	+
G60	G66	+
G69	G67	-
G60	G67	-
G60	G68	-
G69	G68	-
G16	G69	+
G55	G70	+
G60	G70	+
G69	G71	-
G69	G72	-
G69	G73	-
G69	G74	+
G69	G75	+
G69	G76	+
G86	G77	+
G79	G77	+
G45	G77	-
G69	G78	-
G79	G80	+
G79	G81	-
G79	G82	-
G85	G83	+
G79	G83	+
G79	G84	-
G86	G87	+
G93	G88	-
G79	G88	+
G91	G89	-
G93	G89	-
G79	G89	+
G91	G90	-
G79	G90	-
G93	G91	-
G91	G92	-
G93	G92	-
G93	G94	-
G99	G94	+
G79	G94	-
G86	G95	+
G86	G96	+
G93	G97	-
G93	G98	+
G93	G100	-
