G51	G1	-
G1	G2	-
G1	G3	-
G1	G4	-
G6	G4	-
G6	G5	-
G1	G5	+
G6	G7	+
G6	G8	+
G1	G8	-
G1	G9	+
G6	G10	-
G1	G10	-
G6	G11	-
G6	G12	-
G6	G13	+
G6	G14	+
G6	G15	-
G6	G16	-
G6	G17	+
G6	G18	-
G6	G19	+
G6	G20	-
G6	G21	+
G6	G22	-
G6	G23	-
G6	G24	+
G6	G25	+
G6	G26	+
G6	G27	-
G6	G28	+
G31	G29	+
G1	G29	-
G1	G30	-
G31	G30	-
G44	G31	+
G39	G31	+
G31	G32	-
G31	G33	+
G31	G34	+
G31	G35	-
G31	G36	+
G31	G37	+
G39	G37	+
G31	G38	-
G39	G38	+
G83	G39	-
G44	G39	+
G31	G40	+
G39	G40	+
G39	G41	+
G31	G41	-
G39	G42	-
G31	G42	-
G39	G43	-
G50	G44	+
G44	G45	+
G44	G46	+
G48	G47	-
G44	G47	-
G51	G47	+
G44	G49	+
G51	G49	+
G50	G52	-
G51	G53	+
G51	G54	+
G51	G55	-
G58	G55	+
G61	G56	+
G51	G56	+
G64	G57	-
G51	G57	-
G58	G59	+
G51	G60	+
G87	G60	-
G87	G62	-
G60	G62	-
G51	G63	+
G64	G63	+
G61	G65	-
G64	G66	+
G64	G67	+
G51	G68	-
G51	G69	+
G51	G70	+
G72	G70	+
G51	G71	-
G76	G71	-
G74	G72	+
G76	G73	+
G72	G73	-
G87	G73	+
G74	G75	+
G74	G77	-
G76	G78	-
G76	G79	-
G76	G80	+
G87	G81	-
G74	G81	+
G74	G82	-
G83	G82	+
G87	G84	+
G76	G84	-
G86	G85	+
G83	G85	-
G83	G86	+
G87	G88	-
G87	G89	+
G87	G90	-
G87	G91	-
G87	G92	+
G87	G93	-
G87	G94	-
G76	G95	-
G91	G96	-
G83	G97	+
G87	G98	-
G87	G99	+
G87	G100	+
