G2	G1	-
G4	G2	+
G4	G3	-
G2	G3	+
G9	G4	-
G4	G5	-
G2	G6	-
G4	G7	-
G4	G8	-
G9	G8	-
G13	G8	-
G11	G9	-
G9	G10	+
G4	G12	+
G12	G14	-
G13	G15	-
G9	G16	-
G12	G17	+
G22	G18	+
G16	G18	+
G23	G18	-
G18	G19	-
G18	G20	-
G28	G20	+
G16	G21	-
G24	G21	-
G23	G22	+
G21	G22	-
G26	G22	+
G24	G22	+
G34	G23	-
G27	G23	-
G26	G23	-
G24	G23	+
G37	G23	-
G21	G23	-
G25	G23	-
G31	G23	+
G33	G23	+
G16	G24	+
G33	G25	-
G37	G25	-
G21	G25	-
G24	G25	+
G26	G25	-
G24	G27	-
G25	G27	+
G18	G28	+
G19	G28	+
G29	G28	+
G42	G29	+
G25	G29	+
G26	G30	-
G25	G31	-
G25	G32	-
G34	G32	-
G31	G32	-
G31	G34	-
G25	G35	+
G25	G36	-
G39	G36	-
G33	G37	-
G37	G38	-
G33	G38	+
G25	G39	+
G24	G40	-
G38	G41	-
G41	G43	-
G38	G43	-
G38	G44	-
G41	G44	+
G38	G45	+
G26	G46	+
G26	G47	-
G38	G48	+
G39	G49	-
G38	G50	-
