G1	G2	+
G4	G3	+
G2	G3	-
G2	G4	+
G9	G5	+
G2	G5	+
G7	G5	+
G5	G6	+
G51	G7	-
G5	G8	+
G7	G8	+
G9	G8	-
G20	G9	-
G8	G10	+
G18	G10	+
G9	G10	-
G9	G11	+
G8	G11	-
G10	G12	+
G8	G12	-
G6	G13	+
G7	G14	-
G14	G15	-
G15	G16	+
G33	G16	-
G14	G16	-
G7	G17	-
G9	G19	-
G20	G21	-
G20	G22	+
G20	G23	-
G20	G24	+
G34	G25	-
G29	G25	-
G24	G25	+
G25	G26	+
G25	G27	-
G38	G27	+
G25	G28	-
G41	G30	+
G29	G30	-
G25	G31	+
G38	G32	-
G25	G32	-
G79	G33	+
G48	G33	-
G53	G33	+
G40	G34	+
G35	G34	-
G37	G34	-
G37	G35	+
G56	G35	-
G34	G36	+
G46	G37	-
G56	G37	+
G92	G37	-
G38	G39	+
G40	G41	-
G45	G41	+
G40	G42	-
G40	G43	-
G40	G44	+
G20	G47	+
G90	G48	+
G65	G48	+
G66	G48	+
G51	G49	-
G48	G49	+
G49	G50	+
G61	G51	+
G55	G51	+
G51	G52	+
G55	G52	+
G55	G53	+
G51	G53	+
G49	G54	+
G71	G55	+
G69	G55	+
G60	G56	+
G56	G57	-
G67	G57	-
G74	G58	-
G55	G58	+
G51	G58	-
G48	G59	-
G64	G59	-
G71	G61	-
G69	G61	-
G55	G61	+
G56	G62	-
G60	G62	+
G61	G63	-
G97	G64	-
G66	G64	-
G65	G64	+
G48	G64	-
G90	G65	-
G97	G66	+
G56	G67	-
G62	G68	-
G93	G69	-
G89	G69	+
G65	G70	+
G80	G72	-
G79	G72	+
G51	G72	+
G53	G72	-
G69	G73	+
G76	G73	-
G83	G73	+
G17	G73	+
G71	G74	-
G51	G75	-
G77	G76	-
G89	G76	-
G69	G76	+
G55	G76	+
G61	G76	+
G93	G76	+
G83	G76	-
G89	G77	+
G69	G77	-
G91	G77	+
G80	G77	-
G72	G78	+
G85	G78	+
G4	G78	+
G84	G78	+
G87	G78	+
G88	G78	+
G100	G79	-
G72	G81	+
G80	G81	-
G89	G82	-
G91	G82	-
G80	G82	-
G77	G82	+
G55	G83	-
G69	G83	+
G85	G84	+
G4	G84	+
G72	G84	+
G88	G84	+
G87	G84	-
G84	G86	+
G78	G86	+
G80	G89	+
G66	G90	-
G80	G91	-
G89	G91	-
G93	G92	+
G91	G92	+
G89	G92	-
G89	G93	+
G89	G94	-
G69	G94	-
G91	G94	-
G84	G95	-
G78	G95	-
G84	G96	-
G78	G96	+
G77	G98	+
G89	G98	-
G78	G99	-
G84	G99	+
G51	G100	-
