G13	G1	+
G4	G1	+
G23	G1	+
G24	G1	-
G3	G1	-
G1	G2	+
G13	G3	-
G4	G3	-
G13	G4	+
G15	G4	-
G4	G5	-
G4	G6	+
G8	G6	-
G13	G7	-
G4	G7	-
G15	G7	+
G10	G8	+
G35	G8	-
G49	G8	+
G4	G8	+
G15	G8	+
G23	G9	-
G17	G9	+
G13	G9	-
G11	G9	-
G16	G9	-
G4	G9	-
G30	G9	-
G10	G9	+
G29	G9	+
G14	G9	-
G8	G9	-
G35	G9	+
G12	G9	-
G19	G10	-
G8	G11	+
G12	G11	+
G15	G11	-
G17	G11	+
G10	G12	-
G8	G12	+
G4	G12	+
G19	G12	-
G15	G12	-
G19	G14	+
G10	G14	+
G26	G15	-
G42	G16	+
G30	G16	+
G29	G16	-
G48	G16	-
G44	G16	-
G10	G16	+
G15	G16	-
G15	G17	+
G26	G17	+
G12	G17	-
G34	G18	-
G23	G18	+
G15	G18	+
G8	G18	+
G4	G18	-
G28	G18	-
G29	G18	+
G15	G19	-
G15	G20	+
G12	G20	+
G44	G20	+
G8	G20	-
G17	G21	-
G34	G21	+
G11	G21	-
G8	G21	-
G50	G21	-
G45	G21	-
G49	G22	+
G8	G22	+
G11	G22	-
G46	G23	-
G15	G23	+
G46	G24	-
G10	G24	-
G42	G24	-
G15	G25	-
G9	G25	-
G26	G25	-
G35	G26	+
G36	G27	+
G26	G27	+
G15	G27	+
G16	G27	-
G48	G27	+
G32	G27	-
G26	G28	+
G43	G28	+
G15	G28	-
G19	G29	-
G30	G29	-
G44	G29	-
G48	G29	-
G15	G29	-
G44	G30	-
G15	G30	-
G42	G30	-
G48	G30	-
G16	G31	+
G29	G31	-
G30	G31	-
G48	G31	-
G41	G31	+
G13	G32	+
G4	G32	+
G14	G32	+
G23	G32	+
G8	G33	-
G29	G33	-
G15	G33	-
G30	G33	-
G41	G33	+
G12	G34	-
G15	G34	-
G8	G34	+
G17	G34	-
G11	G34	-
G29	G36	-
G26	G36	-
G30	G36	+
G16	G36	+
G41	G36	+
G19	G36	+
G15	G36	-
G43	G36	-
G27	G37	-
G36	G37	-
G26	G37	+
G30	G38	+
G48	G38	+
G31	G38	+
G14	G38	-
G10	G38	-
G16	G38	+
G11	G39	+
G45	G39	+
G17	G39	-
G8	G39	-
G14	G39	+
G49	G39	-
G34	G39	-
G49	G40	-
G9	G40	-
G11	G40	+
G8	G40	-
G17	G40	+
G16	G41	-
G44	G41	-
G29	G41	-
G30	G41	-
G15	G41	-
G48	G41	+
G26	G43	-
G15	G43	+
G34	G45	-
G35	G45	+
G42	G46	+
G41	G47	-
G42	G47	-
G30	G47	-
G16	G47	-
G15	G48	-
G10	G48	-
G15	G49	-
G49	G50	-
G8	G50	-
